txn_type,addr,addr_category,wdata,rdata,data_type,bresp,rresp,cov_gain,gain_label
WRITE,2,REG2,4134255384,0,LARGE,0,0,1,1
WRITE,2,REG2,3,0,SMALL,0,0,2,1
WRITE,3,REG3,2119940454,0,LARGE,0,0,1,1
WRITE,1,REG1,1773855607,0,LARGE,0,0,1,1
WRITE,2,REG2,0,0,ZERO,0,0,1,1
WRITE,3,REG3,1,0,SMALL,0,0,1,1
WRITE,0,REG0,0,0,ZERO,0,0,1,1
WRITE,1,REG1,0,0,ZERO,0,0,1,1
WRITE,3,REG3,0,0,ZERO,0,0,1,1
READ,1,REG1,0,0,NA,0,0,1,1
WRITE,30,INVALID,2905913694,0,NA,2,0,1,1
READ,3,REG3,0,0,NA,0,0,1,1
READ,129,INVALID,0,3735928559,NA,0,2,1,1
READ,0,REG0,0,0,NA,0,0,1,1
READ,2,REG2,0,0,NA,0,0,1,1
WRITE,0,REG0,9,0,SMALL,0,0,1,1
WRITE,0,REG0,9,0,SMALL,0,0,1,1
WRITE,0,REG0,2315837325,0,LARGE,0,0,1,1
WRITE,3,REG3,6,0,SMALL,0,0,0,0
READ,3,REG3,0,6,NA,0,0,1,1
WRITE,1,REG1,1,0,SMALL,0,0,1,1
READ,1,REG1,0,1,NA,0,0,1,1
WRITE,2,REG2,3,0,SMALL,0,0,0,0
READ,2,REG2,0,3,NA,0,0,1,1
WRITE,3,REG3,1,0,SMALL,0,0,0,0
WRITE,3,REG3,8,0,SMALL,0,0,1,1
WRITE,1,REG1,6,0,SMALL,0,0,0,0
WRITE,1,REG1,5,0,SMALL,0,0,1,1
WRITE,0,REG0,6,0,SMALL,0,0,0,0
READ,0,REG0,0,6,NA,0,0,1,1
